date,OPEN,HIGH,LOW,CLOSE,VOLUME,dividend,event_type,description
2022-06-20,124.1,131.5,123.6,131.29,65683460,8358193641.7,,
2022-06-21,131.98,133.49,127.11,129.1,75565750,9779358224.0,,
2022-06-22,127.88,133.21,126.03,133.11,67799070,8798787966.1,,
2022-06-23,133.9,138.4,131.5,136.85,108118920,14709729514.2,,
2022-06-24,137.16,138.3,135.21,137.76,45254820,6186219567.5,,
2022-06-27,137.7,141.77,136.77,141.15,69963540,9812403018.2,,
2022-06-28,141.75,142.35,138.5,139.99,54863240,7675925017.5,,
2022-06-29,139.8,139.89,132.75,132.8,55164310,7517497903.8,,
2022-06-30,132.5,135.44,123.55,125.2,91499020,11774451572.6,,
2022-07-01,124.13,132.0,122.5,129.91,60628570,7809271635.9,,
2022-07-04,129.0,132.8,127.16,131.43,48006990,6244209442.1,,
2022-07-05,132.0,135.7,131.43,133.5,51662270,6901128618.2,,
2022-07-06,133.5,137.1,132.5,134.0,47075440,6371451571.2,,
2022-07-07,134.0,135.2,131.22,133.09,43059280,5736860567.7,,
2022-07-08,133.15,133.98,130.9,133.3,27635050,3656551234.1,,
2022-07-11,132.8,133.9,126.42,126.8,53725410,6951759089.7,,
2022-07-12,126.5,129.35,124.2,129.0,57254290,7276446907.2,,
2022-07-13,129.8,129.95,125.36,126.0,45932640,5838157717.2,,
2022-07-14,125.97,128.0,124.61,125.9,41704620,5273758237.4,,
2022-07-15,126.06,129.44,125.27,128.9,44954140,5725166716.2,,
2022-07-18,130.0,130.64,127.25,128.11,35478100,4560441171.4,,
2022-07-19,128.0,128.11,125.51,127.76,32381170,4101676311.8,,
2022-07-20,128.12,129.2,126.16,126.44,34762350,4450301742.2,,
2022-07-21,126.44,126.83,122.24,125.48,53633030,6674132987.5,,
2022-07-22,125.5,129.1,125.03,128.82,46478250,5934551084.8,,
2022-07-25,128.9,132.0,127.24,131.45,55990880,7278558481.8,,
2022-07-26,132.02,133.9,131.0,132.9,50351100,6674121413.4,,
2022-07-27,132.9,134.79,131.62,132.5,42526820,5666320132.8,,
2022-07-28,133.01,133.49,130.1,131.72,40102900,5270874128.5,,
2022-07-29,131.65,132.75,130.31,131.9,27788260,3657277546.3,,
2022-08-01,131.77,131.77,127.34,127.34,44322900,5733440411.9,,
2022-08-02,126.6,128.44,125.6,127.53,44006150,5597372358.7,,
2022-08-03,128.05,129.15,126.27,126.85,30948110,3954448973.2,,
2022-08-04,126.94,128.13,126.16,126.95,19560540,2486974528.6,,
2022-08-05,127.5,127.58,122.24,122.4,61176570,7580630330.2,,
2022-08-08,126.11,127.38,123.51,123.81,53664860,6717450630.0,,
2022-08-09,123.9,126.5,122.3,126.4,37919970,4714973255.6,,
2022-08-10,126.25,127.29,124.87,126.2,31939910,4026159269.7,,
2022-08-11,126.97,126.97,123.07,123.45,30949210,3873147168.4,,
2022-08-12,123.46,124.98,122.6,124.88,27223160,3377655734.9,,
2022-08-15,124.56,125.7,123.28,125.0,25355480,3150239987.1,,
2022-08-16,125.2,126.86,124.53,126.39,27290920,3439359278.0,,
2022-08-17,126.58,127.44,124.5,124.5,32888950,4134398010.8,,
2022-08-18,124.39,126.5,123.92,126.3,25415410,3189014037.0,,
2022-08-19,126.3,126.36,124.72,125.2,18676990,2339575284.4,,
2022-08-22,125.0,126.69,124.7,126.06,24510110,3083949126.3,,
2022-08-23,126.06,130.49,126.01,130.38,65419130,8448692324.8,,
2022-08-24,130.6,131.64,127.85,128.15,45833690,5940974237.7,,
2022-08-25,128.15,129.81,127.1,128.18,36067720,4630467612.5,,
2022-08-26,128.02,130.5,127.62,130.4,32879870,4251007186.7,,
2022-08-29,130.12,131.4,129.52,131.17,40911490,5342794309.5,,
2022-08-30,131.17,132.6,129.65,130.05,51084490,6706724051.1,,
2022-08-31,132.3,138.34,131.5,134.25,107450510,14439588088.8,,
2022-09-01,133.99,138.22,132.02,138.2,54942470,7406741299.8,,
2022-09-02,138.8,144.9,136.22,143.8,136891810,19355155393.0,,
2022-09-05,143.5,145.1,139.11,141.0,87603050,12371122690.1,,
2022-09-06,140.9,141.07,135.22,137.23,86674520,11990944909.2,,
2022-09-07,136.96,139.19,135.41,136.86,60753730,8339250748.2,,
2022-09-08,136.69,137.4,134.0,134.51,57744420,7829982200.8,,
2022-09-09,134.41,138.47,134.23,138.15,49115280,6696870325.8,,
2022-09-12,137.07,140.37,136.8,138.7,52610620,7304865311.8,,
2022-09-13,138.7,139.37,136.15,137.0,44582700,6135930533.9,,
2022-09-14,136.6,139.29,135.2,138.9,62838520,8599239020.7,,
2022-09-15,139.15,140.28,137.61,139.48,56243810,7819974773.2,,
2022-09-16,139.37,141.39,136.8,137.73,71799280,9983110793.7,,
2022-09-19,137.4,139.08,137.07,138.04,33272190,4590344282.8,,
2022-09-20,137.87,138.35,122.42,125.1,208947780,27120994882.9,,
2022-09-21,112.5,123.98,109.27,120.23,136625430,16327145213.9,,
2022-09-22,120.25,126.95,120.25,124.31,117479960,14562188054.0,,
2022-09-23,124.49,124.5,117.35,119.39,85906070,10311649883.2,,
2022-09-26,114.0,117.99,105.0,107.06,148638170,16617787749.1,,
2022-09-27,110.0,113.89,107.07,112.92,90981060,10025188385.2,,
2022-09-28,112.0,115.2,109.13,111.06,77969660,8720766869.9,,
2022-09-29,111.59,112.2,107.68,110.41,67487760,7411211658.2,,
2022-09-30,111.0,113.4,103.4,110.21,133569040,14569420124.9,,
2022-10-03,110.62,114.65,109.0,114.35,73960960,8280923624.7,,
2022-10-04,115.06,115.5,110.3,110.55,83564680,9371218814.4,,
2022-10-05,110.49,110.49,106.25,108.51,90416920,9776634296.1,,
2022-10-06,108.65,110.38,107.57,108.24,51741480,5630301035.4,,
2022-10-07,107.7,108.48,101.3,101.5,90989490,9560941533.5,,
2022-10-10,96.55,106.77,96.5,106.71,117465350,12100541809.1,,
2022-10-11,106.5,108.3,104.26,107.72,76962080,8212972233.2,,
2022-10-12,108.27,108.5,105.25,105.9,63378400,6748220830.6,,
2022-10-13,105.72,107.3,104.8,106.5,46849810,4973132486.8,,
2022-10-14,106.92,109.19,105.69,107.78,52565400,5631814421.3,,
2022-10-17,107.93,112.76,107.65,112.44,78496550,8680124454.5,,
2022-10-18,113.05,114.37,110.48,110.88,101854810,11468880403.2,,
2022-10-19,110.12,112.93,109.3,112.39,90693010,10047779304.8,,
2022-10-20,112.75,117.2,112.37,116.98,100723600,11611619802.2,,
2022-10-21,116.93,119.94,114.37,119.45,102382050,11996337348.7,,
2022-10-24,120.15,121.68,117.65,118.8,74539310,8899628781.0,,
2022-10-25,118.84,125.2,118.3,124.36,114156750,13988406291.3,,
2022-10-26,124.7,126.88,122.1,124.43,108495360,13490587416.3,,
2022-10-27,124.75,127.5,123.68,126.61,87915140,11099070231.0,,
2022-10-28,126.14,127.25,124.6,126.97,73660000,9289876913.2,,
2022-10-31,127.2,128.6,125.41,126.72,60762870,7705148783.6,,
2022-11-01,127.2,127.97,126.12,127.05,36820880,4678424679.9,,
2022-11-02,127.06,127.74,123.75,125.49,40216620,5091797153.1,,
2022-11-03,125.4,126.1,123.91,125.75,47720130,5968383629.5,,
2022-11-07,127.09,132.0,126.5,132.0,91709630,11884172361.2,,
2022-11-08,132.0,133.11,130.1,131.29,69556040,9132676225.5,,
2022-11-09,131.06,131.47,126.42,127.3,64961510,8392114411.7,,
2022-11-10,131.0,136.69,129.77,136.68,171748310,22986670666.3,,
2022-11-11,137.9,138.42,135.13,136.98,75710240,10343394282.0,,
2022-11-14,137.5,140.7,135.83,139.8,82521030,11457421132.4,,
2022-11-15,140.49,141.0,130.86,135.66,145543250,19905669470.0,,
2022-11-16,136.99,139.73,136.32,139.18,67090170,9275650502.9,,
2022-11-17,139.09,140.35,136.6,137.57,59160240,8183196558.2,,
2022-11-18,137.08,137.81,135.84,136.89,44076540,6017150012.2,,
2022-11-21,136.01,136.3,132.51,134.46,83599930,11204179692.7,,
2022-11-22,134.55,136.0,133.81,135.65,45822990,6185848298.4,,
2022-11-23,135.7,137.55,134.5,136.59,52302020,7131237802.3,,
2022-11-24,137.0,138.41,136.12,136.61,42388720,5825797012.7,,
2022-11-25,137.2,137.24,135.41,136.53,29618830,4032240523.4,,
2022-11-28,135.02,136.2,134.1,135.53,45275110,6119857086.1,,
2022-11-29,136.29,137.2,135.88,136.37,31648090,4322432923.7,,
2022-11-30,136.5,136.78,135.23,136.78,26816190,3645274279.8,,
2022-12-01,137.1,137.95,136.31,137.15,33056500,4528220086.5,,
2022-12-02,136.99,137.1,136.17,136.66,19261670,2631801491.3,,
2022-12-05,136.66,142.68,136.25,142.0,103930500,14626342206.0,,
2022-12-06,142.2,143.37,139.11,140.61,51823300,7320200569.4,,
2022-12-07,140.5,142.81,138.36,142.32,69885670,9820959841.6,,
2022-12-08,143.5,143.6,139.8,139.92,64056510,9051030863.8,,
2022-12-09,139.7,140.7,139.24,140.03,29441490,4121787838.9,,
2022-12-12,140.19,140.87,138.7,139.48,33477470,4674567348.3,,
2022-12-13,139.67,139.93,136.67,138.13,52200510,7204347001.0,,
2022-12-14,138.28,138.28,136.6,137.3,34074890,4682726701.5,,
2022-12-15,136.99,137.08,134.3,134.55,54791650,7425601043.9,,
2022-12-16,134.5,136.09,134.13,135.45,32802120,4438893679.0,,
2022-12-19,135.13,136.73,132.86,134.64,58826130,7922461200.5,,
2022-12-20,134.51,138.4,134.41,138.28,45017120,6164921383.7,,
2022-12-21,138.7,139.12,135.81,137.75,45542340,6272681336.7,,
2022-12-22,137.99,138.97,137.0,137.69,30562140,4219452712.4,,
